mp-23894 LiAs(HO2)2
mp-554605 Rb2SbCl3F2
mp-608469 Co(CO)4
mp-570045 Sm3CuSiSe7
mp-644409 LiAlPHO5
mp-646337 Tb2EuSe4
mp-29407 AlTeI7
mp-4975 RbZnF3
mp-559037 Rb3Nb6SBr17
mp-559477 Rb5LiSi2NiO8
mp-1203976 CdRe2H26C6S6(N4O3)3
mp-581738 Cs3BiSe3
mp-1102486 SmPO4
mp-504659 Hf2P
mp-573390 Np2Si4Mo3
mp-1017509 MgNiH2
mp-553248 CsLaNb2O7
mp-650984 Ru6C17S2O17
mp-1201162 TeS7Br2
mp-18055 La2Ge5Rh3
mp-1095270 Na5NpO6
mp-662549 Cs2GeTe4
mp-561396 Li3CrF6
mp-2752 Nb3Au
mp-973088 MgInAg2
mp-23003 Ce2BiO2
mp-1179661 RuN3Cl5O
mp-504783 Np2S3
mp-554084 BaBi6(PO5)4
mp-1820 YbS
mp-23288 AlBr3
mp-601344 LiZr3H18N4F19
mp-6607 Ca5Si2SO12
mp-643930 Eu2H4Pd
mp-561121 CsTi3P5O19
mp-542084 MnP4O11
mp-697501 VH2SeO5
mp-867237 KB6(HO)6
mp-647209 Ga4P4O17
mp-1178765 ZnAu2(Cl4O)2
mp-696088 Sb2H20(Cl4O3)3
mp-541940 Cr6Si7Ni16
mp-22627 Dy2(Ga3Ru)3
mp-601334 K2Cr4Co(HO4)4
mp-1104658 Sm(Re2Si)2
mp-722369 Na3B5(HO5)2
mp-1199943 Tb(BRu)4
mp-8543 Na3AlAs2
mp-23718 Ca2MnP2(H2O5)2
mp-1194208 Sr(YbS2)2
mp-23804 Mg2FeH6
mp-642 BaCu13
mp-558712 Ag2BiO3
mp-1204784 V2Pb14Cl4O17
mp-1198958 UH10Cl2O15
mp-1105772 Pu2Si4Mo3
mp-867943 Na3H7Os
mp-24125 CaCrH2O5
mp-22690 TbCdF6
mp-557111 Sr3CaRu2O9
mp-697451 ZnP2(HO)4
mp-1191060 CrPb6(Cl3O4)2
mp-558754 Sb4OsC6(O3F11)2
mp-607829 AlTlI4
mp-27180 NdSBr
mp-1020623 ZnSiO3
mp-1196343 Rb4BaV6O18
mp-1188138 Er2Ge5Ru3
mp-28933 Br2O3
mp-1192379 Na2PtF6
mp-7562 TaTl3S4
mp-19192 Y2MnNiO6
mp-679989 Bi(Mo2Cl5)3
mp-23497 Li2ZnI4
mp-27589 Cu5(PO5)2
mp-1192837 AlSb5Se5Cl4
mp-1190661 V3Ga2N
mp-20978 Ho3TlC
mp-27755 KAlCl4
mp-570588 GaH13(C2N)2
mp-1190181 Sr3Zn3Te(PO7)2
mp-22774 Fe3BO6
mp-22342 PbSeO4
mp-1204045 U2Fe15Ge2
mp-555321 BaNiF4
mp-1192725 Pr4CuS7
mp-23880 FeH4(ClO)2
mp-505002 Sc5As3
mp-1191206 K6HgSe4
mp-1193649 Li3Cr4PO19
mp-9084 CsGdS2
mp-555515 CuAg4TeO6
mp-510488 SmMnSbO
mp-867975 CsB2H5O6
mp-698357 SnH8(CI)4
mp-24413 Na2LiAlH6
mp-1197371 BaNd2In2O7
mp-8606 BaSbPt
mp-556674 Ba3LuIr2O9
mp-740754 SmH8(NO5)3
mp-1199385 Er10In20Ni9
mp-706640 CaAl2Si4(H2O7)2
mp-695955 P3H11N4O9
mp-11178 SrCeN2
mp-22493 YInAu2
mp-1195790 Na3U6GaF30
mp-554121 NaHf2VF11
mp-1203298 Ba2InSbTe5
mp-1203918 SnH8C2Br3N
mp-568128 GaSe
mp-555376 CsAu(SO4)2
mp-646456 Tm2In8Co
mp-1102298 Eu3B2Pt7
mp-6532 CaAl2(SiO4)2
mp-21371 VCoSi
mp-1202222 Co3P2O9
mp-1104106 Ho3Ga9Pt2
mp-21287 Gd(SiAg)2
mp-556101 BaCoF4
mp-1199033 K2TcCl5O
mp-1204406 Nb4Mo6I22O
mp-1058315 KP
mp-680426 Pu31Pt20
mp-698210 RbCoH24(C7N4)2
mp-1079861 TmCoGe2
mp-556341 Ti4S8Br6O
mp-707206 TeP6H30(NO4)6
mp-27193 RbIO3
mp-21141 Fe2CuGe2
mp-698518 HgTe3H12C4N
mp-560673 NaPr2S2O8F3
mp-19205 ErVO3
mp-1191393 SmSi2Ni9
mp-22997 PbBrCl
mp-568397 CuMo3Cl7
mp-1104848 Yb(Al2Cu)4
mp-21695 Ce(Ni2B)6
mp-1189040 PtC8(NCl3)2
mp-1202333 P(W3O10)4
mp-774726 Cu2H26C6S7N12O5
mp-581156 Cs7U8V2ClO32
mp-645 TbP
mp-10444 Ca2Al2O5
mp-20921 Ba3MnNb2O9
mp-1203945 Zn10Ni(B4Rh9)2
mp-30768 Li7Sn3
mp-3547 MgSiO3
mp-556962 Pr3CuGeS7
mp-1018720 HfVSi
mp-560285 Sr2GdCoCu2O7
mp-570928 U4Ga12Rh
mp-1329 LaTe2
mp-21074 Cr2HgO4
mp-654335 CsK5Ru2O9
mp-12867 SrSnO3
mp-1197756 KY(BH4)4
mp-1095040 VFeAs
mp-13236 Ho5Si3
mp-1204346 Fe2S2O17
mp-31180 DyAl4Ni
mp-13486 LaCoCu12
mp-1017981 Hg
mp-1009541 CsRbN
mp-604486 LiB3H18N5
mp-2105 Hf3Si2
mp-1192395 Hg3Bi2(TeCl4)2
mp-33803 Nd2Mo2O7
mp-683928 K5CeCu2(NO2)12
mp-1069375 NdAl3Cu
mp-696941 K2H2RuO5
mp-632219 ZrH
mp-27982 PuBrO
mp-13914 LiCo2Ge
mp-603612 TiP4H8N2O13
mp-1195255 Ba4Fe3Se10
mp-1188626 Nd(CoP3)4
mp-1203216 Na2CoH12(SO7)2
mp-1183012 Al2Si3H8(NO5)2
mp-553950 Li10Si2PbO10
mp-24037 CoH9(CN2)3
mp-29073 Nb2GeTe4
mp-582883 Pr21Fe8Bi7C12
mp-559987 LiAl(PO3)4
mp-1020022 Li3B(PO4)2
mp-9632 CsReF6
mp-1179009 Tb5BiAu2
mp-1189405 Ba2Gd2Co4O11
mp-2030 RuS2
mp-1190188 Ba2Ge5Ir4
